prec,impl,C,H,W,TILE_CI,num_data_points,kernel_cycles,fpss_fpu_occupancy,total_ipc,main_loop_snitch_occupancy,grad_ifmap_max_abs_err,grad_ifmap_max_rel_err,grad_weight_max_abs_err,grad_weight_max_rel_err,grad_bias_max_abs_err,grad_bias_max_rel_err,time_spent_waiting_in_barrier,icache_miss,tcdm_congestion
32,MULTICORE_OPT,2,2,2,2,8,446,0.1707865168539326,0.3842696629213483,0.1820224719101123,1.1920929e-07,6.848733e-08,0.0,0.0,0.0,0.0,183,93,0
32,MULTICORE_OPT,4,2,2,4,16,462,0.1648590021691974,0.3709327548806941,0.175704989154013,1.1920929e-07,1.1800208e-07,4.7683716e-07,8.6966665e-08,1.1920929e-07,7.8935415e-08,183,82,2
32,MULTICORE_OPT,4,4,2,4,32,462,0.2082429501084598,0.4143167028199566,0.175704989154013,2.3841858e-07,1.3661707e-07,4.7683716e-07,1.4392431e-07,1.1920929e-07,0.00027763896,183,82,2
32,MULTICORE_OPT,4,4,4,4,64,494,0.2758620689655172,0.4685598377281947,0.1643002028397566,2.3841858e-07,1.4661973e-07,2.3841858e-07,9.075127e-07,2.3841858e-07,1.4355051e-07,183,82,2
32,MULTICORE_OPT,8,4,4,8,128,514,0.2651072124756335,0.4502923976608187,0.1578947368421052,9.536743e-07,2.3205291e-07,9.536743e-07,4.036345e-07,5.9604645e-07,7.913606e-07,181,82,1
32,MULTICORE_OPT,8,8,4,8,256,594,0.3642495784148398,0.524451939291737,0.1365935919055649,4.7683716e-07,2.3425142e-07,4.7683716e-07,3.0242927e-07,4.7683716e-07,5.574925e-06,181,82,2
32,MULTICORE_OPT,8,8,8,8,512,765,0.4921465968586387,0.6164921465968587,0.1060209424083769,4.7683716e-07,2.174944e-07,5.722046e-06,4.3275938e-07,9.536743e-07,3.5033074e-07,202,83,2
32,MULTICORE_OPT,16,8,8,16,1024,1052,0.4215033301617507,0.5566127497621314,0.1674595623215984,3.8146973e-06,2.2144411e-07,6.67572e-06,5.254384e-07,1.9073486e-06,7.384339e-07,311,134,315
32,MULTICORE_OPT,16,16,8,16,2048,1559,0.4897304236200256,0.5808729139922978,0.1129653401797175,1.9073486e-06,2.4440718e-07,8.583069e-06,5.399841e-07,2.3841858e-06,2.4999513e-06,376,197,291
32,MULTICORE_OPT,15,16,16,15,3840,4581,0.309825327510917,0.3641921397379912,0.0587336244541484,4.7683716e-07,2.3355179e-07,1.5258789e-05,7.82837e-07,5.722046e-06,3.532408e-06,2604,165,847
32,MULTICORE_OPT,16,16,16,16,4096,2304,0.612679114198871,0.6990881458966566,0.0981328701693443,3.8146973e-06,2.515291e-07,1.1444092e-05,1.5099919e-06,3.8146973e-06,9.444574e-07,406,225,788
32,MULTICORE_OPT,15,23,23,15,7935,8720,0.3202202087395343,0.3553159766028214,0.0365867645372175,9.536743e-07,2.363313e-07,3.0517578e-05,9.560043e-07,9.536743e-06,1.3110725e-06,5324,177,1403
32,MULTICORE_OPT,32,16,16,32,8192,3651,0.7652054794520547,0.8561643835616439,0.093972602739726,9.536743e-07,2.3743331e-07,1.1444092e-05,3.83795e-06,7.6293945e-06,6.0301323e-07,399,418,2552
32,MULTICORE_OPT,32,32,16,32,16384,6352,0.8453786805227523,0.9104078097937331,0.0645567627145331,1.9073486e-06,2.3777959e-07,2.3841858e-05,8.298836e-05,9.536743e-06,4.3906937e-05,479,432,5159
32,MULTICORE_OPT,32,32,32,32,32768,11604,0.9067482547616996,0.955701111781436,0.0462811341894337,1.9073486e-06,2.3831903e-07,6.1035156e-05,3.6743293e-06,1.5258789e-05,9.800283e-06,479,457,10850
32,MULTICORE_OPT,16,64,64,16,65536,22100,0.9359247024752252,0.96655957283135,0.0290058373682067,3.8146973e-06,2.5621466e-07,9.1552734e-05,1.5707493e-06,6.1035156e-05,3.545379e-05,538,383,14072
32,MULTICORE_OPT,32,64,32,32,65536,22140,0.9406477257328696,0.979493202041646,0.0349157595194001,1.9073486e-06,2.3831423e-07,0.00021362305,6.1879027e-06,3.0517578e-05,1.4977856e-05,524,519,21725
32,MULTICORE_OPT,32,64,64,32,131072,43193,0.959645304686053,0.9952074458233008,0.0306306723467308,1.9073486e-06,2.3835857e-07,0.00022125244,3.3720041e-06,3.0517578e-05,5.376754e-06,523,655,44249
