prec,impl,C,H,W,TILE_CI,num_data_points,kernel_cycles,fpss_fpu_occupancy,total_ipc,main_loop_snitch_occupancy,grad_ifmap_max_abs_err,grad_ifmap_max_rel_err,grad_weight_max_abs_err,grad_weight_max_rel_err,grad_bias_max_abs_err,grad_bias_max_rel_err,time_spent_waiting_in_barrier,icache_miss,tcdm_congestion
32,MULTICORE_OPT,2,2,2,2,8,827,0.1525423728813559,0.3680387409200968,0.1937046004842615,1.4305115e-06,2.197567e-06,0.0,0.0,0.0,0.0,245,237.0,1.0
32,MULTICORE_OPT,4,2,2,4,16,826,0.1527272727272727,0.3684848484848485,0.1939393939393939,1.1920929e-07,1.6829665e-06,4.7683716e-07,1.2595734e-07,5.9604645e-08,7.8935415e-08,245,234.0,1.0
32,MULTICORE_OPT,4,4,2,4,32,830,0.1857659831121833,0.4016887816646562,0.1942098914354644,1.7881393e-07,6.464023e-07,1.1920929e-07,1.0498067e-07,5.9604645e-08,5.552779e-05,245,234.0,1.0
32,MULTICORE_OPT,4,4,4,4,64,830,0.2533172496984318,0.4680337756332931,0.1930036188178528,2.3841858e-07,5.4885845e-06,4.7683716e-07,6.7807883e-07,2.3841858e-07,5.968691e-08,245,233.0,1.0
32,MULTICORE_OPT,8,4,4,8,128,829,0.2536231884057971,0.4685990338164251,0.1932367149758454,2.3841858e-07,2.0467887e-06,5.9604645e-07,1.5111804e-06,5.9604645e-07,7.913606e-07,242,229.0,2.0
32,MULTICORE_OPT,8,8,4,8,256,947,0.3403805496828753,0.5644820295983086,0.2050739957716701,4.7683716e-07,3.843107e-05,9.536743e-07,7.5934404e-05,4.7683716e-07,5.574925e-06,249,225.0,5.0
32,MULTICORE_OPT,8,8,8,8,512,1203,0.454242928452579,0.6821963394342763,0.2129783693843594,4.7683716e-07,2.4197745e-05,1.9073486e-06,1.2395638e-07,1.9073486e-06,2.3401835e-06,280,225.0,5.0
32,MULTICORE_OPT,16,8,8,16,1024,1727,0.3232908458864426,0.5283893395133256,0.1917728852838933,9.536743e-07,1.140589e-05,2.861023e-06,8.676921e-07,1.4305115e-06,5.28518e-07,442,215.0,301.0
32,MULTICORE_OPT,16,16,8,16,2048,2254,0.4465157567687527,0.6631158455392809,0.2063914780292942,4.7683716e-07,2.3995348e-05,1.9073486e-06,3.410659e-07,2.861023e-06,1.7236678e-06,475,318.0,405.0
32,MULTICORE_OPT,15,16,16,15,3840,7754,0.2453243905584934,0.3409002966593576,0.0926093125241841,4.7683716e-07,0.0005876882,7.6293945e-06,4.4790607e-07,5.722046e-06,2.001698e-05,5272,240.0,557.0
32,MULTICORE_OPT,16,16,16,16,4096,3432,0.5543573302244243,0.7694549693966775,0.2083940542116001,9.536743e-07,2.9639072e-05,5.722046e-06,6.0627315e-07,3.8146973e-06,9.444574e-07,622,511.0,789.0
32,MULTICORE_OPT,15,23,23,15,7935,14008,0.2730777468408653,0.310487613336189,0.0349825087456271,4.7683716e-07,6.171867e-05,7.6293945e-06,2.8160066e-06,7.6293945e-06,7.913211e-07,8114,267.0,2063.0
32,MULTICORE_OPT,32,16,16,32,8192,5927,0.6403982450219372,0.7446844414444819,0.0944988187647654,9.536743e-07,1.547319e-05,5.722046e-06,1.9195245e-06,5.722046e-06,2.4619324e-06,925,572.0,4806.0
32,MULTICORE_OPT,32,32,16,32,16384,9290,0.7969641511465174,0.9080633006782216,0.1031327376466788,1.4305115e-06,3.455008e-05,1.1444092e-05,2.9274127e-06,1.1444092e-05,4.3906937e-05,1064,443.0,15703.0
32,MULTICORE_OPT,32,32,32,32,32768,16851,0.8690207715133531,1.0051038575667657,0.1288427299703264,9.536743e-07,0.00017542427,1.1444092e-05,2.852481e-06,1.335144e-05,1.8293862e-05,1090,718.0,35541.0
32,MULTICORE_OPT,16,64,64,16,65536,31362,0.9215905105066804,1.098338700934281,0.173368196167214,1.4305115e-06,0.01204727,4.5776367e-05,1.3059231e-06,3.0517578e-05,6.446144e-06,785,1076.0,19127.0
32,MULTICORE_OPT,64,32,32,64,65536,32863,0.8974803724666789,1.0208447446899154,0.1110096768303816,1.4305115e-06,0.0013538355,1.5258789e-05,2.9637138e-06,1.5258789e-05,4.587214e-06,1045,2363.0,156649.0
32,SINGLE_CORE_OPT,2,2,2,2,8,631,0.2,0.4333333333333333,0.2047619047619047,1.4305115e-06,2.197567e-06,0.0,0.0,0.0,0.0,140,194.0,0.0
32,SINGLE_CORE_OPT,3,2,2,3,12,739,0.2981029810298103,0.5460704607046071,0.2100271002710027,1.1920929e-07,5.796744e-07,0.0,0.0,0.0,0.0,102,190.0,0.0
32,SINGLE_CORE_OPT,4,2,2,4,16,747,0.2949061662198391,0.5402144772117963,0.2077747989276139,1.1920929e-07,1.6829665e-06,4.7683716e-07,1.2595734e-07,5.9604645e-08,7.8935415e-08,110,190.0,0.0
32,SINGLE_CORE_OPT,4,4,2,4,32,754,0.3665338645418327,0.6162018592297477,0.2124833997343957,1.7881393e-07,6.464023e-07,1.1920929e-07,1.0498067e-07,5.9604645e-08,5.552779e-05,110,186.0,0.0
32,SINGLE_CORE_OPT,4,4,4,4,64,832,0.4669073405535499,0.7123947051744886,0.2117930204572803,2.3841858e-07,5.4885845e-06,4.7683716e-07,6.7807883e-07,2.3841858e-07,5.968691e-08,115,190.0,1.0
32,SINGLE_CORE_OPT,8,4,4,8,128,1239,0.6009693053311793,0.8239095315024232,0.1841680129240711,2.3841858e-07,2.0467887e-06,5.9604645e-07,1.5111804e-06,5.9604645e-07,7.913606e-07,107,195.0,2.0
32,SINGLE_CORE_OPT,7,5,5,7,175,1704,0.5848502642395772,0.7457428068115091,0.1327069876688197,2.3841858e-07,4.015392e-06,9.536743e-07,1.7737555e-07,4.7683716e-07,1.956725e-07,295,193.0,0.0
32,SINGLE_CORE_OPT,11,4,4,11,176,1685,0.6532066508313539,0.8598574821852731,0.166270783847981,2.3841858e-07,2.6643227e-05,4.7683716e-07,2.661772e-07,4.7683716e-07,2.0978376e-07,143,195.0,2.0
32,SINGLE_CORE_OPT,5,6,6,5,180,1790,0.5511458915595304,0.7037451089994411,0.1313583007266629,7.1525574e-07,2.3629673e-05,9.536743e-07,3.0415853e-07,9.536743e-07,1.1744352e-07,456,190.0,2.0
32,SINGLE_CORE_OPT,8,8,4,8,256,1684,0.7082590612002376,0.8924539512774807,0.1556743909685086,4.7683716e-07,3.843107e-05,9.536743e-07,7.5934404e-05,4.7683716e-07,5.574925e-06,112,184.0,2.0
32,SINGLE_CORE_OPT,9,6,5,9,270,2190,0.645043398812243,0.7816354499771585,0.1100959342165372,4.7683716e-07,7.7515215e-06,4.7683716e-07,7.7222734e-07,1.9073486e-06,2.0974676e-07,333,211.0,5.0
32,SINGLE_CORE_OPT,10,8,4,10,320,2005,0.7395209580838323,0.9126746506986028,0.1442115768463074,2.3841858e-07,9.129621e-06,9.536743e-07,1.5643604e-06,9.536743e-07,1.071901e-06,117,184.0,0.0
32,SINGLE_CORE_OPT,13,5,5,13,325,2470,0.6962332928311057,0.8558120696638315,0.1279870392871608,4.7683716e-07,0.00022815133,9.536743e-07,1.9414631e-07,9.536743e-07,1.0582336e-06,234,192.0,0.0
32,SINGLE_CORE_OPT,8,8,8,8,512,2603,0.8024596464258262,0.9454265949269792,0.1245196003074558,4.7683716e-07,2.4197745e-05,1.9073486e-06,1.2395638e-07,1.9073486e-06,2.3401835e-06,127,191.0,3.0
32,SINGLE_CORE_OPT,16,8,8,16,1024,4802,0.8631535096854822,0.9706311185169756,0.0891480941470527,9.536743e-07,8.961771e-06,2.861023e-06,8.676921e-07,1.9073486e-06,9.845785e-07,162,191.0,4.0
32,SINGLE_CORE_OPT,16,16,8,16,2048,8497,0.9096045197740112,0.9861111111111112,0.0661487758945386,4.7683716e-07,3.179079e-05,1.9073486e-06,5.115989e-07,3.0994415e-06,4.481536e-06,290,179.0,7.0
