prec,impl,C,H,W,TILE_CI,num_data_points,kernel_cycles,fpss_fpu_occupancy,total_ipc,main_loop_snitch_occupancy,ofmap_max_abs_err,ofmap_max_rel_err,time_spent_waiting_in_barrier,icache_miss,tcdm_congestion
64,EXISTING,8,8,8,8,512,2729,0.0263929618768328,0.1990469208211143,0.1609237536656891,1.7319479184152442e-12,4.631222232205365e-12,,,1576.0
64,EXISTING,16,8,8,16,1024,2930,0.0464322294298395,0.2236258108569477,0.1608057357459884,3.2359182000618603e-10,9.56166246961157e-11,,,1446.0
64,EXISTING,16,16,8,16,2048,5706,0.0476774758983347,0.2227870289219982,0.158282208588957,3.438493934027065e-10,8.745541944226791e-10,,,2910.0
64,EXISTING,16,16,16,16,4096,5739,0.092018124782154,0.2661205995120251,0.1573719065876612,4.3098680180264637e-10,4.6050358700036333e-10,,,2793.0
64,EXISTING,16,16,16,8,4096,13581,0.0400589101620029,0.1583946980854197,0.1089101620029455,4.3098680180264637e-10,4.6050358700036333e-10,,,9709.0
64,EXISTING,32,16,16,16,8192,12994,0.0812745324405449,0.2197337027630262,0.1236819826060186,7.826272963029622e-11,3.8138857975315157e-10,,,7437.0
64,EXISTING,32,16,16,32,8192,7442,0.1397661604623034,0.306276038166913,0.1450073914796398,7.826272963029622e-11,3.8138857975315157e-10,,,3299.0
64,EXISTING,32,32,16,16,16384,25762,0.0819843950157214,0.2201389697604907,0.1232483211055471,7.917222433206915e-11,1.360536392682806e-09,,,14765.0
64,EXISTING,32,32,16,32,16384,14642,0.1420667987159347,0.3086537804794754,0.1447305511918585,7.917222433206915e-11,1.360536392682806e-09,,,6587.0
64,EXISTING,32,32,32,32,32768,19506,0.2116380415278133,0.3317610869007946,0.103716995642143,9.158540592579811e-11,3.14363756997973e-09,,,6127.0
64,EXISTING,16,64,64,16,65536,36671,0.2251431688028361,0.3362421598036542,0.1006272157076629,4.2588510495988885e-10,1.2776295398931089e-08,,,18431.0
64,MULTICORE_OPT,2,2,2,2,8,372,0.1320754716981132,0.38544474393531,0.2345013477088948,0.0,0.0,173.0,46.0,0.0
64,MULTICORE_OPT,4,2,2,4,16,385,0.1276041666666666,0.3723958333333333,0.2265625,2.220446049250313e-16,1.97869870980257e-16,178.0,40.0,0.0
64,MULTICORE_OPT,4,4,2,4,32,387,0.1373056994818652,0.3808290155440414,0.2253886010362694,4.440892098500626e-16,2.163179412193105e-16,178.0,42.0,0.0
64,MULTICORE_OPT,4,4,4,4,64,399,0.1532663316582914,0.3894472361809045,0.2185929648241206,8.881784197001252e-16,1.7915222767868003e-15,183.0,46.0,4.0
64,MULTICORE_OPT,8,4,4,8,128,440,0.1389521640091116,0.3530751708428246,0.1981776765375854,8.881784197001252e-16,8.49936956021003e-16,188.0,60.0,16.0
64,MULTICORE_OPT,8,8,4,8,256,486,0.1587628865979381,0.3525773195876288,0.179381443298969,8.881784197001252e-16,1.4175577124710734e-15,208.0,75.0,16.0
64,MULTICORE_OPT,8,8,8,8,512,580,0.1882556131260794,0.3506044905008635,0.1502590673575129,8.881784197001252e-16,1.779554534720671e-15,238.0,107.0,16.0
64,MULTICORE_OPT,8,8,8,8,512,580,0.1882556131260794,0.3506044905008635,0.1502590673575129,8.881784197001252e-16,1.779554534720671e-15,238.0,107.0,16.0
64,MULTICORE_OPT,16,8,8,16,1024,945,0.2298728813559322,0.4406779661016949,0.1959745762711864,3.552713678800501e-15,1.2748096267088144e-14,381.0,128.0,475.0
64,MULTICORE_OPT,16,16,8,16,2048,1348,0.2561247216035635,0.4083147735708983,0.1417965850037119,7.105427357601002e-15,9.021791557393999e-14,639.0,130.0,506.0
64,MULTICORE_OPT,16,16,16,16,4096,2129,0.2824248120300752,0.3787593984962406,0.0897556390977443,7.105427357601002e-15,5.744052371453363e-13,1164.0,130.0,506.0
64,MULTICORE_OPT,32,16,16,32,8192,3195,0.376017532874139,0.5150281778334377,0.1264871634314339,3.552713678800501e-15,9.29466249529176e-14,1141.0,217.0,4646.0
64,MULTICORE_OPT,32,32,16,32,16384,5562,0.4004675418090271,0.5060240963855421,0.0951267757597554,3.552713678800501e-15,2.101154605059572e-13,2104.0,217.0,9565.0
64,MULTICORE_OPT,32,32,32,32,32768,10151,0.421576354679803,0.5058128078817734,0.074975369458128,3.552713678800501e-15,1.5565908537927374e-13,3826.0,217.0,20010.0
