prec,impl,C,H,W,TILE_CI,num_data_points,kernel_cycles,fpss_fpu_occupancy,total_ipc,main_loop_snitch_occupancy,ofmap_max_abs_err,ofmap_max_rel_err,running_mean_max_abs_err,running_mean_rel_err,running_var_abs_err,running_var_rel_err,time_spent_waiting_in_barrier,icache_miss,tcdm_congestion
64,MULTICORE_OPT,2,2,2,2,8,715,0.2605042016806723,0.3879551820728291,0.1638655462184874,0.0,0.0,0.0,0.0,0.0,0.0,264,176,0
64,MULTICORE_OPT,4,2,2,4,16,717,0.2597765363128491,0.3868715083798882,0.1634078212290503,2.7755575615628914e-16,8.362344250050662e-16,5.551115123125783e-17,1.634707776767085e-16,1.1102230246251563e-16,2.0799204690082127e-16,263,164,0
64,MULTICORE_OPT,4,4,2,4,32,717,0.2821229050279329,0.409217877094972,0.1634078212290503,2.220446049250313e-16,1.0950175184198916e-14,2.775557561562892e-17,1.1667593210710674e-16,0.0,0.0,263,164,0
64,MULTICORE_OPT,4,4,4,4,64,726,0.3227586206896551,0.4524137931034482,0.1655172413793103,2.220446049250313e-16,5.671009455477833e-15,2.775557561562892e-17,1.6939180715197407e-16,0.0,0.0,264,164,0
64,MULTICORE_OPT,8,4,4,8,128,763,0.3070866141732283,0.4304461942257218,0.1574803149606299,6.661338147750939e-16,9.214452601659644e-15,1.1102230246251563e-16,1.1461938221896455e-16,1.1102230246251563e-16,1.641733737737453e-16,254,182,2
64,MULTICORE_OPT,8,8,4,8,256,829,0.4057971014492754,0.4842995169082126,0.1557971014492753,4.440892098500626e-16,3.839969229032257e-15,2.775557561562892e-17,1.7730026859921823e-16,1.1102230246251563e-16,1.753472795782195e-16,269,194,2
64,MULTICORE_OPT,8,8,8,8,512,1022,0.4544564152791381,0.5328109696376102,0.1410381978452497,8.881784197001252e-16,1.2090613307634547e-14,1.1102230246251563e-16,1.388764192441567e-16,2.220446049250313e-16,1.4738083891299544e-16,302,221,2
64,MULTICORE_OPT,8,8,8,8,512,1022,0.4544564152791381,0.5328109696376102,0.1410381978452497,8.881784197001252e-16,1.2090613307634547e-14,1.1102230246251563e-16,1.388764192441567e-16,2.220446049250313e-16,1.4738083891299544e-16,302,221,2
64,MULTICORE_OPT,16,8,8,16,1024,2378,0.3403449726546066,0.5599495161968868,0.2111905763567522,1.7763568394002505e-15,9.774984465396048e-15,2.220446049250313e-16,1.9430094248715456e-16,2.220446049250313e-16,2.460613003935458e-16,495,626,1047
64,MULTICORE_OPT,16,16,8,16,2048,3371,0.3919881305637982,0.5531157270029674,0.1551928783382789,4.440892098500626e-16,3.75781642906502e-14,2.220446049250313e-16,1.802863875663074e-16,2.220446049250313e-16,2.003772528198334e-16,929,666,1104
64,MULTICORE_OPT,16,16,16,16,4096,5455,0.4299596626329299,0.5295196186285295,0.0958929226255958,8.881784197001252e-16,2.839737166467019e-13,2.220446049250313e-16,1.858102740968569e-16,1.1102230246251563e-16,1.2996578812117268e-16,1989,666,1104
64,MULTICORE_OPT,32,16,16,32,8192,9400,0.5117565698478561,0.607192254495159,0.0993722736461325,1.7763568394002505e-15,1.4437210403963649e-12,2.775557561562892e-17,5.276561472562031e-13,4.440892098500626e-16,2.1951101017733976e-16,1864,838,21386
