dim,impl,H,W,D,num_data_points,stride,dilation,padding,kernel_size,kernel_cycles,main_loop_snitch_occupancy,fpss_fpu_occupancy,total_ipc,icache_miss,tcdm_congestion,time_spent_waiting_in_barrier,optimal_fmax,comments
2D,Multicore Optimized,4,4,1,16,2,1,0,9,683.75,0.22976430363585326,0.019025069727809506,0.2517163071679411,222,170,113,64,3x3 kernel
2D,Multicore Optimized,4,8,1,32,2,1,0,9,707.125,0.23375363575718816,0.04533403844987892,0.2833377403117432,421,312,129,192,3x3 kernel
2D,Multicore Optimized,8,8,1,64,2,1,0,9,780.5,0.21969443109591374,0.1181981734551115,0.34174689281586584,593,497,168,576,3x3 kernel
2D,Multicore Optimized,8,16,1,128,2,1,0,9,997.125,0.18369406762928656,0.21280405648857237,0.39950950227571613,745,733,1344,248,3x3 kernel
2D,Multicore Optimized,16,16,1,256,2,1,0,9,1427.5,0.14793666740074085,0.34495185005291235,0.49499188239300024,848,1086,408,3136,3x3 kernel
2D,Multicore Optimized,16,32,1,512,2,1,0,9,2428.125,0.10997859715859483,0.43332391090202904,0.5445382226354395,974,2296,728,6720,3x3 kernel
2D,Multicore Optimized,32,32,1,1024,2,1,0,9,4405.75,0.08784456106905791,0.5111781693217531,0.5997036959804936,1104,4347,1388,14400,3x3 kernel
2D,Multicore Optimized,32,64,1,2048,2,1,0,9,9388.625,0.16349360473400049,0.4962113618851602,0.662261265604374,2473,10026,25,29760,3x3 kernel
2D,Multicore Optimized,64,64,1,4096,2,1,0,9,15741.75,0.15062025081137773,0.611057330986928,0.7632022063282216,3340,24250,25,61504,3x3 kernel
2D,Multicore Optimized,8,8,1,64,8,1,0,64,620.375,0.24349857438784073,0.10965498714154419,0.35637870821001855,82,165,163.375,504,8x8 kernel
2D,Multicore Optimized,8,16,1,128,8,1,0,64,770.375,0.20553682712118765,0.17171431126580233,0.38115373637030375,191,291,220.375,1008,8x8 kernel
2D,Multicore Optimized,16,16,1,256,8,1,0,64,1001.75,0.15981463608359187,0.26169646658688167,0.42450762709704093,277,388,355.375,2016,8x8 kernel
2D,Multicore Optimized,16,32,1,512,8,1,0,64,1539.625,0.10655582395547143,0.3391593908826591,0.4476644067397551,323,542,625.375,4032,8x8 kernel
2D,Multicore Optimized,32,32,1,1024,8,1,0,64,2601.625,0.06612043221873919,0.40056680448794313,0.4678405000593347,369,759,1175.375,8064,8x8 kernel
2D,Multicore Optimized,32,64,1,2048,8,1,0,64,4405,0.12009464125879918,0.4732013014798745,0.5953391164306051,621,3503,25,16128,8x8 kernel
2D,Multicore Optimized,64,64,1,4096,8,1,0,64,7965.5,0.15982161978098705,0.5234063887407188,0.6862411419661236,956,9815,25,32256,8x8 kernel
2D,Multicore Optimized,8,8,1,64,1,1,0,64,725.125,0.21681205372541595,0.09390585766451134,0.31347984838006,170,217,156.75,504,8x8 kernel
2D,Multicore Optimized,8,16,1,128,1,1,0,64,1287.375,0.13291840314736897,0.45627545407898,0.5915257590359518,349,394,226.75,4536,8x8 kernel
2D,Multicore Optimized,16,16,1,256,1,1,0,64,6130.375,0.03963988908042212,0.8591905176402604,0.8993197880673545,488,669,436.75,40824,8x8 kernel
2D,Multicore Optimized,16,32,1,512,1,1,0,64,16101.375,0.02403532058983367,0.9084357474612329,0.9326573883657164,595,4463,841.75,113400,8x8 kernel
2D,Multicore Optimized,32,32,1,1024,2x4,1,0,8,2888.625,0.09831829693708458,0.3995046291035056,0.4988614995997847,112,242,1285.375,7168,2x4 kernel. stride=kernel
2D,Multicore Optimized,32,32,1,1024,4x4,1,0,16,2767.625,0.07949196822281118,0.3938465698312008,0.47442251943886854,112,544,1220.375,7680,4x4 kernel. stride=kernel
2D,Multicore Optimized,32,32,1,1024,4x8,1,0,32,2701.625,0.0695890622428899,0.3916235524094548,0.46232307841153975,113,311,1190.375,7936,4x8 kernel. stride=kernel
2D,Multicore Optimized,40,40,1,1600,8,2,0,64,5657.125,0.11359909363258777,0.18454260539227538,0.3002608465590151,1670,222,171.625,8064,8x8 kernel
2D,Multicore Optimized,48,48,1,2304,8,3,0,64,5799.25,0.12499712485074495,0.18014145324861053,0.30720718748240333,1601,727,509.125,8064,8x8 kernel
2D,Multicore Optimized,24,24,1,576,8,1,4,64,5856.625,0.23977705660916065,0.10365449458975494,0.3480429299305034,348,137,705.375,,
1D,Multicore Optimized,64,1,1,64,64,1,0,64,644,0.21950582651059716,0.10586096597674188,0.3284803503101844,146,135,161.875,504,
1D,Multicore Optimized,128,1,1,128,64,1,0,64,781.25,0.18961348906387912,0.16911473348940573,0.3625717392234986,282,194,231.875,1008,
1D,Multicore Optimized,256,1,1,256,64,1,0,64,1027.5,0.1461177873251509,0.25521906852793025,0.4042592115995841,367,258,366.875,2016,
1D,Multicore Optimized,512,1,1,512,64,1,0,64,1575.25,0.10032458379514765,0.3314521059561207,0.43368158691193576,435,335,636.875,4032,
1D,Multicore Optimized,1024,1,1,1024,64,1,0,64,2655.5,0.06251645490460811,0.3924225663289256,0.456068836683617,517,430,1181.875,8064,
1D,Multicore Optimized,2048,1,1,2048,64,1,0,64,3986.625,0.11764581658434198,0.5227588097265856,0.6426622219383457,1119,3055,25,16128,
1D,Multicore Optimized,4096,1,1,4096,64,1,0,64,7942.25,0.14895117189662666,0.5249175280110198,0.6768905326426582,1846,8235,25,32256,
1D,Multicore Optimized,64,1,1,64,1,1,0,64,662,0.21350884499970654,0.10296880468070954,0.319506143935731,147,124,161.875,504,
1D,Multicore Optimized,128,1,1,128,1,1,0,64,5450,0.03945112542021725,0.7756317427944123,0.8156333477210472,157,261,291.875,32760,
1D,Multicore Optimized,256,1,1,256,1,1,0,64,14042,0.024426874298888995,0.893539755696684,0.9181802759969263,157,638,556.875,97272,
1D,Multicore Optimized,512,1,1,512,1,1,0,64,31210,0.019192591776975996,0.9351823136194932,0.9544710285453872,158,1378,1076.875,226296,
1D,Multicore Optimized,1024,1,1,1024,1,1,0,64,64960.125,0.021520879780235928,0.9616502528817421,0.9833096792763757,1129,4545,25,484344,
1D,Multicore Optimized,1024,1,1,1024,8,1,0,8,2960,0.09393086688041355,0.38991446179855116,0.4848589711273146,188,33,1291.875,7168,
1D,Multicore Optimized,1024,1,1,1024,16,1,0,16,2824,0.07578962084478413,0.3860312463589473,0.46288333852398533,176,76,1226.875,7680,
1D,Multicore Optimized,1024,1,1,1024,32,1,0,32,2753,0.06611941074770449,0.38436448665423817,0.45157377779888286,173,134,1196.875,7936,
